Time,V1,V2,V3
20.36,6.6472,9.8382,19.5005
20.38,7.3145,10.793,19.891
20.4,8.0361,11.7641,20.5456
20.42,8.8004,12.6977,21.4868
20.44,9.5863,13.522,22.7228
20.46,10.3622,14.1491,24.2373
20.48,11.0851,14.4841,25.9779
20.5,11.7035,14.4414,27.8496
20.52,12.162,13.9663,29.7169
20.54,12.4102,13.0576,31.419
20.56,12.4126,11.7788,32.7992
20.58,12.1573,10.252,33.7381
20.6,11.6604,8.6321,34.1788
20.62,10.9634,7.072,34.1332
20.64,10.1254,5.692,33.6685
20.66,9.212,4.5639,32.8819
20.68,8.2855,3.7115,31.8755
20.7,7.3974,3.1224,30.7385
20.72,6.5857,2.763,29.54
20.74,5.8742,2.5921,28.3285
20.76,5.2752,2.5696,27.1357
20.78,4.7919,2.6618,25.9813
20.8,4.4215,2.843,24.8777
20.82,4.1581,3.0958,23.8327
20.84,3.9941,3.4099,22.8523
20.86,3.9221,3.7812,21.9418
20.88,3.9358,4.2099,21.1072
20.9,4.0304,4.6997,20.3558
20.92,4.2028,5.2565,19.6971
20.94,4.4517,5.8877,19.1431
20.96,4.7775,6.6005,18.7095
20.98,5.1815,7.4007,18.4162
21,5.6658,8.2909,18.2881
21.02,6.2319,9.2676,18.3553
21.04,6.8796,10.3181,18.6527
21.06,7.6052,11.4154,19.2177
21.08,8.3993,12.5144,20.0866
21.1,9.2435,13.5468,21.286
21.12,10.1086,14.4205,22.822
21.14,10.9518,15.0245,24.6653
21.16,11.7171,15.2432,26.7374
21.18,12.3396,14.9813,28.9037
21.2,12.7527,14.1949,30.9826
21.22,12.9012,12.9176,32.7742
21.24,12.7539,11.2661,34.1033
21.26,12.3127,9.4191,34.8624
21.28,11.6139,7.5732,35.0324
21.3,10.7209,5.8969,34.6755
21.32,9.7109,4.5002,33.905
21.34,8.661,3.4283,32.849
21.36,7.6373,2.674,31.6234
21.38,6.6892,2.198,30.3178
21.4,5.8486,1.9478,28.994
21.42,5.1321,1.8711,27.6905
21.44,4.5442,1.9232,26.4298
21.46,4.0816,2.07,25.2237
21.48,3.7364,2.2874,24.0787
21.5,3.4986,2.561,22.9981
21.52,3.3582,2.8837,21.9848
21.54,3.3061,3.2541,21.0415
21.56,3.3353,3.6754,20.1722
21.58,3.4409,4.154,19.3823
21.6,3.62,4.6985,18.6795
21.62,3.8724,5.3192,18.0743
21.64,4.1996,6.0268,17.581
21.66,4.6046,6.8315,17.2186
21.68,5.0919,7.7414,17.0119
21.7,5.6659,8.7599,16.9924
21.72,6.3304,9.8824,17.1988
21.74,7.0864,11.091,17.6762
21.76,7.9297,12.3488,18.4735
21.78,8.8481,13.5927,19.6364
21.8,9.817,14.7281,21.196
21.82,10.7962,15.6285,23.151
21.84,11.7276,16.1461,25.4464
21.86,12.5366,16.137,27.9558
21.88,13.1395,15.5016,30.4788
21.9,13.4577,14.2287,32.7651
21.92,13.4349,12.421,34.5683
21.94,13.054,10.2831,35.7106
21.96,12.3436,8.0696,36.1285
21.98,11.3726,6.0159,35.8766
22,10.2338,4.2853,35.0925
22.02,9.0245,2.9512,33.9434
22.04,7.8298,2.0108,32.5833
22.06,6.7144,1.4135,31.1302
22.08,5.7196,1.0892,29.6625
22.1,4.8663,0.9675,28.2263
22.12,4.1598,0.9888,26.8451
22.14,3.5949,1.1073,25.5292
22.16,3.1604,1.2913,24.2815
22.18,2.8425,1.5208,23.1021
22.2,2.6272,1.7852,21.9899
22.22,2.5018,2.0808,20.9439
22.24,2.4557,2.4093,19.9642
22.26,2.481,2.7761,19.0516
22.28,2.5724,3.1894,18.2086
22.3,2.7274,3.6598,17.4393
22.32,2.9458,4.1995,16.7503
22.34,3.23,4.8222,16.1513
22.36,3.5845,5.5425,15.6559
22.38,4.0156,6.3752,15.2834
22.4,4.5311,7.3342,15.0597
22.42,5.1397,8.4298,15.0194
22.44,5.8497,9.6651,15.2074
22.46,6.6674,11.0304,15.6791
22.48,7.5943,12.4951,16.4996
22.5,8.6235,13.9971,17.7374
22.52,9.734,15.4326,19.4523
22.54,10.8856,16.6491,21.6727
22.56,12.0134,17.4515,24.3646
22.58,13.0268,17.6305,27.3978
22.6,13.8167,17.018,30.5296
22.62,14.2728,15.559,33.4262
22.64,14.3098,13.3646,35.7377
22.66,13.894,10.7075,37.2009
22.68,13.0565,7.9451,37.7205
22.7,11.887,5.4088,37.3803
22.72,10.5092,3.3187,36.3845
22.74,9.0516,1.7582,34.972
22.76,7.6236,0.7022,33.3505
22.78,6.3037,0.0644,31.6671
22.8,5.1384,-0.2599,30.0096
22.82,4.1471,-0.3678,28.4216
22.84,3.3299,-0.3376,26.9193
22.86,2.6747,-0.226,25.5044
22.88,2.1629,-0.0716,24.1727
22.9,1.774,0.1021,22.9177
22.92,1.4877,0.2821,21.7334
22.94,1.2861,0.4629,20.6147
22.96,1.1538,0.644,19.5571
22.98,1.0786,0.8281,18.5573
23,1.051,1.0201,17.6126
23.02,1.0644,1.2263,16.7209
23.04,1.1147,1.4539,15.8809
23.06,1.1998,1.7114,15.0917
23.08,1.3197,2.0083,14.3534
23.1,1.4762,2.3553,13.6672
23.12,1.6728,2.7648,13.0358
23.14,1.915,3.2511,12.4637
23.16,2.21,3.8308,11.9584
23.18,2.5667,4.5227,11.5314
23.2,2.9964,5.3481,11.1995
23.22,3.5121,6.3303,10.9875
23.24,4.1289,7.4926,10.9307
23.26,4.8632,8.8557,11.0782
23.28,5.7313,10.4319,11.4974
23.3,6.7474,12.2153,12.2764
23.32,7.9193,14.1664,13.5242
23.34,9.2413,16.1913,15.3624
23.36,10.6848,18.1174,17.9023
23.38,12.1862,19.677,21.1985
23.4,13.6367,20.5198,25.18
23.42,14.8809,20.283,29.5778
23.44,15.7349,18.7267,33.9032
23.46,16.0289,15.8898,37.5387
23.48,15.6632,12.1558,39.9445
23.5,14.6507,8.1426,40.8751
23.52,13.1176,4.4632,40.4517
23.54,11.2601,1.5163,39.0502
23.56,9.2853,-0.5751,37.107
23.58,7.364,-1.8939,34.9739
23.6,5.6104,-2.6194,32.87
23.62,4.0836,-2.942,30.9
23.64,2.8,-3.0217,29.0959
23.66,1.7477,-2.9763,27.453
23.68,0.8997,-2.8855,25.9526
23.7,0.2219,-2.8002,24.5745
23.72,-0.3206,-2.7507,23.3014
23.74,-0.7606,-2.7546,22.1207
23.76,-1.1273,-2.8218,21.0234
23.78,-1.4461,-2.9579,20.0041
23.8,-1.7387,-3.1674,19.0603
23.82,-2.0233,-3.4546,18.1917
23.84,-2.3162,-3.8251,17.4006
23.86,-2.6314,-4.2863,16.6922
23.88,-2.9824,-4.8473,16.0747
23.9,-3.3816,-5.5189,15.5608
23.92,-3.8414,-6.3131,15.1684
23.94,-4.3743,-7.2418,14.9225
23.96,-4.9923,-8.3141,14.8566
23.98,-5.7065,-9.5334,15.0145
24,-6.5254,-10.8913,15.4514
24.02,-7.453,-12.3595,16.2323
24.04,-8.4846,-13.8794,17.428
24.06,-9.602,-15.3509,19.1022
24.08,-10.7678,-16.6245,21.2908
24.1,-11.9194,-17.5044,23.97
24.12,-12.9679,-17.7747,27.0214
24.14,-13.8033,-17.2531,30.2101
24.16,-14.3115,-15.8646,33.2023
24.18,-14.4006,-13.7023,35.6349
24.2,-14.0288,-11.0303,37.2227
24.22,-13.2207,-8.2123,37.8477
